,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Reinosa,ES,42.9996,-4.138,38.46,84,0,4.38,clear sky
352,Romilly-Sur-Seine,FR,48.5108,3.7263,49.32,95,5,4.25,clear sky
353,San Rafael,AR,-34.6177,-68.3301,57.47,43,0,3.06,clear sky
354,Cidreira,BR,-30.1811,-50.2056,63.0,69,67,5.12,broken clouds
355,Koutsouras,GR,35.0339,25.9469,61.0,61,0,11.01,clear sky
356,Ndola,ZM,-12.9587,28.6366,53.85,94,52,3.42,broken clouds
357,Betong,TH,5.7743,101.0723,87.22,61,90,3.18,overcast clouds
358,Severnoye,RU,56.3491,78.3619,59.74,32,26,13.98,scattered clouds
359,Port Moresby,PG,-9.4431,147.1797,85.42,74,40,9.22,scattered clouds
360,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,77,0,10.36,clear sky
361,Southbridge,US,42.0751,-72.0334,56.89,58,100,1.01,overcast clouds
362,Chicama,PE,-7.8447,-79.1469,61.34,83,89,5.99,overcast clouds
363,Conde,BR,-7.2597,-34.9075,74.66,100,75,4.61,broken clouds
364,Colares,PT,38.7992,-9.4469,58.78,70,0,5.99,clear sky
365,Huarmey,PE,-10.0681,-78.1522,65.5,88,79,9.17,broken clouds
366,Chokurdakh,RU,70.6333,147.9167,28.29,89,100,10.47,overcast clouds
367,Maltahohe,NA,-24.8333,16.9833,54.07,43,0,1.81,clear sky
368,Provideniya,RU,64.3833,-173.3,30.36,80,0,0.0,clear sky
369,Riorges,FR,46.0418,4.0497,43.68,98,13,6.08,few clouds
370,Hokitika,NZ,-42.7167,170.9667,61.23,77,41,5.01,scattered clouds
371,Tautira,PF,-17.7333,-149.15,81.43,77,22,11.48,light rain
372,Monte Gordo,PT,37.1819,-7.4523,61.25,71,5,8.21,clear sky
373,Marawi,PH,7.9986,124.2928,83.68,57,100,3.2,overcast clouds
374,Komsomolskiy,UZ,40.4272,71.7189,70.52,64,100,4.61,overcast clouds
375,Bahar,IR,34.9072,48.4414,48.36,81,40,4.61,scattered clouds
376,Campeche,MX,19.0,-90.5,83.66,60,69,5.23,broken clouds
377,Elliot,ZA,-31.3333,27.85,51.31,49,0,8.5,clear sky
378,Jacareacanga,BR,-6.2222,-57.7528,73.15,99,74,1.72,broken clouds
379,Carndonagh,IE,55.25,-7.2667,52.92,95,100,10.11,heavy intensity rain
380,Kharp,RU,66.8014,65.8081,21.18,83,89,7.63,overcast clouds
381,Lucapa,AO,-8.4192,20.7447,64.98,81,59,3.78,broken clouds
382,Rocha,UY,-34.4833,-54.3333,52.03,89,77,5.61,broken clouds
383,Vikhorevka,RU,56.1201,101.1636,49.59,29,100,13.2,overcast clouds
384,Zhigansk,RU,66.7697,123.3711,28.94,90,10,7.29,clear sky
385,Malampaka,TZ,-3.1333,33.5333,65.48,78,98,10.58,overcast clouds
386,Meulaboh,ID,4.1363,96.1285,76.55,96,100,12.28,moderate rain
387,Colorado,BR,-22.8375,-51.9731,64.62,74,99,2.75,overcast clouds
388,Vanimo,PG,-2.6741,141.3028,86.05,70,86,6.87,light rain
389,Hope,US,33.6671,-93.5916,69.85,98,100,11.63,overcast clouds
390,Pointe-Noire,CG,-4.7761,11.8635,77.07,100,75,4.61,broken clouds
391,Aswan,EG,24.0934,32.907,69.57,34,0,11.68,clear sky
392,Roverud,NO,60.2521,12.055,35.46,83,39,0.83,scattered clouds
393,Haapiti,PF,-17.5667,-149.8667,78.53,76,26,10.22,scattered clouds
394,Coos Bay,US,43.3665,-124.2179,56.98,97,100,14.97,mist
395,Magrath,CA,49.4167,-112.8686,60.51,48,100,14.97,overcast clouds
396,Alyangula,AU,-13.8483,136.4192,84.07,54,76,10.36,broken clouds
397,Tevaitoa,PF,-16.7833,-151.5,81.61,72,70,8.7,broken clouds
398,Haines Junction,CA,60.7522,-137.5108,44.55,42,99,10.36,overcast clouds
399,Ixtapa,MX,20.7,-105.2,76.23,83,40,5.75,scattered clouds
400,Gejiu,CN,23.306,103.1635,63.54,64,56,4.68,broken clouds
401,Majholi,IN,23.5,79.9167,88.84,22,0,12.12,clear sky
402,Edd,ER,13.9297,41.6925,84.78,69,97,2.82,overcast clouds
403,Leh,IN,34.1667,77.5833,46.06,51,59,3.85,broken clouds
404,Fort Nelson,CA,58.8053,-122.7002,51.39,30,75,4.61,broken clouds
405,Usinsk,RU,65.9939,57.5281,24.17,66,48,11.72,scattered clouds
406,Port Hardy,CA,50.6996,-127.4199,46.58,76,75,9.22,broken clouds
407,San Javier,ES,37.8063,-0.8374,58.32,82,0,2.3,clear sky
408,Alexandria,EG,31.2156,29.9553,63.88,71,0,15.73,clear sky
409,George Town,MY,5.4112,100.3354,89.55,71,20,6.91,few clouds
410,Bonfim,BR,3.0833,-59.95,80.82,73,99,2.1,overcast clouds
411,Padang,ID,-0.9492,100.3543,82.45,80,100,4.16,overcast clouds
412,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.42,84,5,11.56,clear sky
413,High Level,CA,58.5169,-117.136,55.51,58,75,2.3,broken clouds
414,Bac Lieu,VN,9.285,105.7244,86.52,69,79,15.05,broken clouds
415,Inhambane,MZ,-23.865,35.3833,71.58,88,75,6.91,broken clouds
416,Mandalgovi,MN,45.7625,106.2708,46.33,24,16,7.16,few clouds
417,Wagga Wagga,AU,-35.1167,147.3667,54.01,58,75,12.66,broken clouds
418,Asau,RO,46.4333,26.4,36.52,85,13,1.79,few clouds
419,Opuwo,NA,-18.0607,13.84,61.02,41,0,7.63,clear sky
420,Broken Hill,AU,-31.95,141.4333,56.91,54,40,11.5,scattered clouds
421,Tura,IN,25.5198,90.2201,81.9,59,67,2.44,broken clouds
422,Yarada,IN,17.65,83.2667,88.12,70,40,4.61,haze
423,Aketi,CD,2.7388,23.7833,68.16,99,98,1.74,overcast clouds
424,Ambovombe,MG,-25.1667,46.0833,67.98,87,2,5.75,clear sky
425,Draguignan,FR,43.5333,6.4667,53.78,97,100,2.3,overcast clouds
426,Dzerzhinsk,RU,56.2389,43.4631,35.42,74,40,6.71,scattered clouds
427,Nanning,CN,22.8167,108.3167,79.25,59,96,6.71,overcast clouds
428,Basco,PH,20.4487,121.9702,82.72,76,18,7.0,few clouds
429,Roald,NO,62.5833,6.1333,51.94,66,100,14.97,overcast clouds
430,Tomatlan,MX,19.9333,-105.25,70.05,86,6,2.04,clear sky
431,Boa Vista,BR,2.8197,-60.6733,76.98,88,40,2.3,scattered clouds
432,Cayenne,GF,4.9333,-52.3333,79.09,1,100,1.14,mist
433,Linxia,CN,35.6003,103.2064,71.91,30,68,4.94,broken clouds
434,Meteti,PA,8.4983,-77.9786,74.46,97,100,1.7,overcast clouds
435,Berdigestyakh,RU,62.0989,126.6992,38.39,58,73,8.52,light rain
436,La Rioja,ES,42.25,-2.5,37.18,91,35,4.45,scattered clouds
437,Keelung,TW,25.1283,121.7419,84.09,85,100,7.14,overcast clouds
438,Guabito,PA,9.5,-82.6167,77.2,91,92,3.11,overcast clouds
439,Anage,BR,-14.6122,-41.1356,71.64,82,4,3.4,clear sky
440,Binga,ZW,-17.6203,27.3414,64.87,72,21,1.39,few clouds
441,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,38,0,29.93,clear sky
442,Portland,US,45.5234,-122.6762,56.08,78,100,7.0,overcast clouds
443,Arlit,NE,18.7369,7.3853,88.47,14,22,7.7,few clouds
444,Hornepayne,CA,49.2138,-84.7705,40.73,88,37,6.55,scattered clouds
445,Jinan,CN,36.6683,116.9972,86.77,29,64,4.18,broken clouds
446,Blackfoot,US,43.1905,-112.345,61.61,56,100,9.55,overcast clouds
447,Sioux Lookout,CA,50.1001,-91.917,37.47,81,40,4.61,scattered clouds
448,Ballina,AU,-28.8667,153.5667,73.78,91,100,10.36,overcast clouds
449,Hailar,CN,49.2,119.7,46.08,17,33,20.56,scattered clouds
450,Buala,SB,-8.145,159.5921,85.96,67,100,7.74,overcast clouds
451,Khovu-Aksy,RU,51.1333,93.6,52.56,32,100,2.35,overcast clouds
452,Getulio Vargas,UY,-32.6796,-53.5494,52.99,87,7,4.76,clear sky
453,San Cristobal,VE,7.7669,-72.225,75.38,86,100,2.64,overcast clouds
454,Sibu,MY,2.3,111.8167,88.11,70,40,4.61,scattered clouds
455,Buchanan,LR,5.8808,-10.0467,77.43,91,97,1.28,overcast clouds
456,Yar-Sale,RU,66.8333,70.8333,21.81,79,84,14.14,broken clouds
457,Takab,IR,36.4009,47.1133,50.43,70,0,1.63,clear sky
458,Yabelo,ET,4.8833,38.0833,54.99,92,11,4.07,few clouds
459,Prainha,BR,-1.8,-53.48,73.8,97,92,3.11,overcast clouds
460,Fougamou,GA,-1.2154,10.5838,73.87,99,100,1.03,overcast clouds
461,College,US,64.8569,-147.8028,50.2,66,75,4.61,shower rain
462,Altay,CN,47.8667,88.1167,62.56,51,100,4.83,overcast clouds
463,Cabedelo,BR,-6.9811,-34.8339,75.87,82,100,11.14,overcast clouds
464,Nizhniy Tsasuchey,RU,50.5167,115.1333,44.56,17,65,16.96,broken clouds
465,Flin Flon,CA,54.7682,-101.865,38.79,100,100,8.32,overcast clouds
466,Kalmunai,LK,7.4167,81.8167,84.0,75,58,6.42,broken clouds
467,Bagan,RU,54.1001,77.6646,60.6,49,12,13.67,few clouds
468,Bakchar,RU,57.0186,82.0711,56.75,35,39,7.87,scattered clouds
469,Pangnirtung,CA,66.1451,-65.7125,9.23,90,31,5.99,scattered clouds
470,Paragominas,BR,-2.9667,-47.4833,72.03,98,70,2.89,broken clouds
471,General Roca,AR,-39.0333,-67.5833,55.62,47,0,5.46,clear sky
472,Armidale,AU,-30.5167,151.65,61.09,68,100,8.79,overcast clouds
473,Nogent-Le-Rotrou,FR,48.3333,1.0,43.65,95,26,6.42,scattered clouds
474,Khani,GE,41.9563,42.9566,40.57,96,94,0.81,overcast clouds
475,Kerrville,US,30.0474,-99.1403,74.55,86,0,0.0,clear sky
476,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,47,0,11.18,clear sky
477,Freetown,SL,8.484,-13.2299,79.95,80,81,1.74,broken clouds
478,Kiruna,SE,67.8557,20.2251,32.92,69,96,13.8,overcast clouds
479,Muros,ES,42.7762,-9.0603,53.83,79,18,11.03,few clouds
480,Poum,NC,-20.2333,164.0167,77.47,76,5,5.91,clear sky
481,Ucluelet,CA,48.9329,-125.5528,48.09,86,99,4.0,overcast clouds
482,Kyren,RU,51.6828,102.1408,52.7,36,77,1.43,broken clouds
483,Oistins,BB,13.0667,-59.5333,78.89,78,40,17.27,scattered clouds
484,Gao,ML,16.6362,1.637,89.13,10,100,8.52,overcast clouds
485,Raymond,US,43.9015,-70.4703,52.0,53,100,3.02,overcast clouds
486,Takoradi,GH,4.8845,-1.7554,79.14,86,100,1.81,light rain
487,Puerto Escondido,MX,15.85,-97.0667,80.98,66,6,3.38,clear sky
488,Hovd,MN,48.0056,91.6419,56.32,19,100,4.94,overcast clouds
489,Dryden,CA,49.7833,-92.7503,50.29,46,0,4.61,clear sky
490,Vysokogornyy,RU,50.1167,139.15,62.13,64,100,8.52,light rain
491,Itatiba,BR,-23.0058,-46.8389,59.52,91,58,6.15,broken clouds
492,Lac Du Bonnet,CA,50.2536,-96.0612,52.02,74,18,5.37,few clouds
493,Samana,DO,19.2056,-69.3369,75.85,87,99,9.08,overcast clouds
494,Anse-Bertrand,GP,16.4721,-61.5078,77.95,100,56,15.9,broken clouds
495,Maniitsoq,GL,65.4167,-52.9,20.52,67,1,8.3,clear sky
496,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,47.86,88,100,20.67,overcast clouds
497,Rantepao,ID,-2.9701,119.8978,82.08,66,47,3.83,scattered clouds
498,Bereda,ES,43.2686,-7.5406,46.33,96,65,4.72,broken clouds
499,Mitu,CO,1.1983,-70.1733,70.34,99,88,1.48,overcast clouds
500,Kargil,IN,34.5667,76.1,43.25,52,3,2.3,clear sky
501,Nizwa,OM,22.9333,57.5333,84.18,22,0,1.77,clear sky
502,Ormara,PK,25.2088,64.6357,80.69,68,0,7.96,clear sky
503,Kem,RU,64.9555,34.5793,39.96,90,100,10.38,overcast clouds
504,Klaeng,TH,12.7797,101.6483,81.39,81,100,3.51,overcast clouds
505,Lao Cai,VN,22.4833,103.95,86.2,51,100,3.4,overcast clouds
506,Barcelos,PT,41.5388,-8.6151,59.85,79,14,3.53,few clouds
507,Kapit,MY,2.0167,112.9333,91.98,54,100,1.52,overcast clouds
508,Sibolga,ID,1.7427,98.7792,77.36,95,100,6.06,overcast clouds
509,Ostersund,SE,63.1792,14.6357,36.61,80,20,8.05,few clouds
510,Dumas,US,35.8656,-101.9732,59.14,44,0,3.44,clear sky
511,Acarau,BR,-2.8856,-40.12,75.63,90,58,10.69,broken clouds
512,Inegol,TR,40.0781,29.5133,36.68,85,12,2.04,few clouds
513,Rawson,AR,-43.3002,-65.1023,58.75,58,42,9.73,scattered clouds
514,Ambilobe,MG,-13.2,49.05,71.74,84,12,2.59,few clouds
515,Mirebalais,HT,18.8333,-72.1053,72.32,85,69,2.91,broken clouds
516,Kamenka,RU,51.3223,42.7678,42.35,55,31,6.35,scattered clouds
517,Wajir,KE,1.7471,40.0573,76.96,78,0,4.61,clear sky
518,Price,US,39.5994,-110.8107,61.86,21,0,5.75,clear sky
519,Mishelevka,RU,52.8575,103.1719,55.47,28,98,15.57,overcast clouds
520,Rockport,US,28.0206,-97.0544,82.06,91,0,6.91,clear sky
521,Avera,US,33.194,-82.5271,72.91,66,94,6.24,overcast clouds
522,Muisne,EC,0.6,-80.0333,75.42,84,100,1.83,overcast clouds
523,Karratha,AU,-20.7377,116.8463,85.12,29,0,19.91,clear sky
524,Shorewood,US,41.52,-88.2017,52.25,95,100,10.36,mist
525,Mujiayingzi,CN,42.1167,118.7833,57.63,11,10,11.12,clear sky
526,Myitkyina,MM,25.3833,97.4,92.21,36,0,0.49,clear sky
527,Novaya Igirma,RU,57.1334,103.9112,53.04,29,62,9.31,broken clouds
528,Gayeri,BF,12.6497,0.4931,85.64,48,96,11.03,overcast clouds
529,Gravelbourg,CA,49.8834,-106.5512,68.27,41,100,15.84,overcast clouds
530,Lomovka,RU,53.9194,58.3672,34.23,64,41,15.88,scattered clouds
531,Honningsvag,NO,70.9821,25.9704,38.95,75,100,16.11,light rain
532,Tarbagatay,RU,51.4803,107.3602,49.53,18,100,9.26,overcast clouds
533,Creston,US,41.0586,-94.3614,53.56,100,100,10.36,mist
534,Mae Sai,TH,20.4335,99.8762,88.0,51,25,1.9,scattered clouds
535,Goba,ET,7.0167,39.9833,52.43,70,1,4.07,clear sky
536,Capelinha,BR,-17.6914,-42.5158,63.9,83,5,3.44,clear sky
537,Bima,ID,-8.4667,118.7167,91.36,57,22,4.09,few clouds
538,Homer,US,59.6425,-151.5483,46.78,81,75,12.66,broken clouds
539,Susner,IN,23.95,76.0833,97.23,18,0,16.17,clear sky
540,Abu Samrah,SY,35.3029,37.1841,56.39,76,45,10.85,scattered clouds
541,Iskateley,RU,67.6803,53.1512,21.22,86,46,8.59,scattered clouds
542,Sakakah,SA,29.9697,40.2064,60.37,40,0,15.86,clear sky
543,Mwingi,KE,-0.9344,38.0601,64.74,93,24,3.33,few clouds
544,Korla,CN,41.7597,86.1469,81.43,22,100,4.29,overcast clouds
545,Bajna,IN,27.9,77.6833,98.74,20,0,1.83,clear sky
546,Sawakin,SD,19.1059,37.3321,80.8,56,0,8.32,clear sky
547,Vakhtan,RU,57.9659,46.6889,39.15,50,40,8.08,scattered clouds
548,Wynyard,AU,-41.0,145.7167,50.97,83,100,6.44,light rain
549,Nezhinka,RU,51.7676,55.3694,39.36,65,0,20.13,clear sky
550,Moindou,NC,-21.6924,165.677,78.57,72,26,14.52,scattered clouds
551,Challans,FR,46.8436,-1.8749,48.4,94,4,7.72,clear sky
552,Gizo,SB,-8.103,156.8419,84.83,71,23,5.86,light rain
553,Keflavik,IS,64.0049,-22.5624,36.03,80,20,13.8,few clouds
554,Zaraza,VE,9.3503,-65.3245,79.97,75,100,5.88,overcast clouds
555,Kronshtadt,RU,59.9936,29.7736,47.05,72,79,6.49,broken clouds
556,Maceio,BR,-9.6658,-35.7353,74.64,94,75,4.61,broken clouds
557,Mezen,RU,65.8522,44.24,27.61,80,30,6.29,scattered clouds
558,Ayagoz,KZ,47.9714,80.4392,68.41,38,0,6.35,clear sky
559,Yaan,NG,7.3833,8.5667,74.53,88,100,2.75,overcast clouds
560,Neuquen,AR,-38.9516,-68.0591,46.29,76,0,0.0,clear sky
561,Sobolevo,RU,54.4299,31.8996,41.09,76,31,5.97,scattered clouds
562,Netivot,IL,31.4222,34.5886,58.6,68,85,12.59,overcast clouds
563,Honolulu,US,21.3069,-157.8583,80.42,76,20,16.11,few clouds
564,Uruzgan,AF,32.8333,66.0,68.67,23,0,2.8,clear sky
565,Lodja,CD,-3.4833,23.4333,69.53,88,81,2.04,broken clouds
566,Duku,NG,11.2361,4.9073,80.35,61,99,5.23,overcast clouds
567,Ampanihy,MG,-24.7,44.75,69.46,72,1,5.46,clear sky
568,Sisophon,KH,13.5859,102.9737,84.38,72,97,8.1,overcast clouds
569,Marfino,RU,55.7028,37.3822,42.17,44,0,4.47,clear sky
570,Port-Gentil,GA,-0.7193,8.7815,79.43,84,100,6.11,moderate rain
571,Sao Domingos,BR,-13.3983,-46.3183,75.0,55,92,2.26,overcast clouds
572,Seminole,US,28.7086,-81.2081,81.37,79,100,6.91,overcast clouds
573,Pingzhuang,CN,42.0372,119.2889,60.3,10,6,13.4,clear sky
574,Hearst,CA,49.6835,-83.6665,37.89,68,98,8.05,overcast clouds
575,Araouane,ML,18.9048,-3.5265,86.29,22,89,7.16,overcast clouds
576,Wahiawa,US,21.5028,-158.0236,77.32,70,40,11.5,scattered clouds
577,Morant Bay,JM,17.8815,-76.4093,82.02,85,15,7.92,few clouds
578,Tateyama,JP,34.9833,139.8667,66.96,71,100,8.16,overcast clouds
579,Mapiripan,CO,2.8892,-72.1256,71.24,97,96,3.76,overcast clouds
580,La Romana,DO,18.4273,-68.9728,73.76,94,20,4.61,few clouds
581,Cervo,ES,43.6702,-7.4101,55.96,91,31,8.12,scattered clouds
582,Eureka,US,40.8021,-124.1637,61.41,82,100,3.0,overcast clouds
583,Carroll,US,39.5501,-77.0164,60.12,79,100,4.0,overcast clouds
584,Cap Malheureux,MU,-19.9842,57.6142,75.47,82,80,11.01,broken clouds
585,Livramento,BR,-3.0254,-60.1803,81.27,94,0,2.3,clear sky
586,Wonthaggi,AU,-38.6044,145.5913,54.82,58,100,22.7,moderate rain
587,Broome,US,42.2506,-75.833,53.98,63,0,6.91,clear sky
588,San Giovanni In Fiore,IT,39.2633,16.6996,55.98,80,100,3.87,overcast clouds
589,Kristiinankaupunki,FI,62.2743,21.376,39.56,84,51,3.51,broken clouds
590,Auki,SB,-8.7676,160.7034,86.02,63,83,2.1,broken clouds
591,Upata,VE,8.0086,-62.3989,74.19,89,92,5.5,overcast clouds
592,Port Macquarie,AU,-31.4333,152.9167,62.89,66,96,10.31,light rain
593,Gravdal,NO,68.1214,13.5031,39.09,87,75,10.36,light rain
594,Lisala,CD,2.15,21.5167,69.03,99,100,1.99,overcast clouds
595,Zhangye,CN,38.9342,100.4517,74.37,22,77,4.56,broken clouds
596,Gayny,RU,60.3071,54.3241,36.07,52,18,9.15,few clouds
597,Awjilah,LY,29.1081,21.2869,66.24,31,0,11.5,clear sky
598,Santa Rosa,PH,14.3122,121.1114,93.18,64,17,12.1,few clouds
599,Urucui,BR,-7.2294,-44.5561,76.32,74,33,1.36,scattered clouds
600,Buraydah,SA,26.326,43.975,81.05,21,0,10.56,clear sky
601,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,11.5,few clouds
602,Neepawa,CA,50.2289,-99.4664,57.6,67,100,8.46,overcast clouds
603,Pyshchug,RU,58.8873,45.7134,38.44,61,14,7.47,few clouds
604,Sampit,ID,-2.5333,112.95,90.05,61,56,1.43,broken clouds
605,Uarini,BR,-2.99,-65.1083,72.61,98,37,1.32,scattered clouds
606,Obregon,NI,11.9566,-85.9636,78.89,74,99,7.76,overcast clouds
607,Mattru,SL,7.6244,-11.8332,73.94,92,100,2.13,overcast clouds
608,Manokwari,ID,-0.8667,134.0833,83.41,76,74,4.14,broken clouds
609,Goma,CD,-1.6792,29.2228,61.09,91,65,2.48,broken clouds
610,Pueblo Nuevo,MX,23.3833,-105.3833,57.15,53,1,4.88,clear sky
611,Tocopilla,CL,-22.092,-70.1979,64.13,75,7,2.98,clear sky
612,Kanniyakumari,IN,8.0833,77.5667,85.62,74,87,15.57,overcast clouds
613,Henties Bay,NA,-22.116,14.2845,63.59,68,0,4.05,clear sky
614,Kaliua,TZ,-5.0606,31.7936,64.02,80,80,4.59,broken clouds
615,Coahuayana,MX,18.7333,-103.6833,72.0,90,78,2.01,broken clouds
616,Xilitla,MX,21.3333,-98.9667,75.18,86,50,2.08,scattered clouds
617,Khilok,RU,51.3674,110.4676,48.51,17,3,6.02,clear sky
618,Sitka,US,57.0531,-135.33,44.49,76,100,0.0,light rain
619,Saint-Augustin,CA,51.226,-58.6502,34.75,78,65,11.07,broken clouds
620,Mecca,SA,21.4267,39.8261,79.74,47,0,7.83,clear sky
621,Wilmington Island,US,32.0036,-80.9737,78.98,78,20,6.91,few clouds
622,Rawlins,US,41.7911,-107.2387,55.35,40,0,8.05,clear sky
623,Somova,RO,45.1833,28.6667,37.69,81,0,2.3,clear sky
624,Sonneberg,DE,50.35,11.1667,48.31,81,100,4.09,overcast clouds
625,Gotsu,JP,35.0,132.2167,70.12,60,22,6.91,few clouds
626,Hamilton,US,39.1834,-84.5333,58.23,95,100,11.5,mist
627,Arcachon,FR,44.5875,-1.0519,52.12,100,0,5.75,clear sky
628,Buenos Aires,AR,-34.6132,-58.3772,64.13,90,0,3.44,clear sky
629,Menongue,AO,-14.6585,17.691,58.37,71,84,2.86,broken clouds
630,Puro,PH,12.4841,123.3827,88.27,62,69,7.96,broken clouds
631,Mount Pleasant,US,32.7941,-79.8626,77.09,88,0,1.99,clear sky
632,Torbat-E Jam,IR,35.244,60.6225,75.7,36,88,2.73,overcast clouds
633,Turukhansk,RU,65.8167,87.9833,24.89,71,99,7.43,overcast clouds
634,Porto Novo,BJ,6.4965,2.6036,79.45,85,97,4.36,overcast clouds
635,Sept-Iles,CA,50.2001,-66.3821,37.92,52,75,8.05,broken clouds
636,Bilma,NE,18.6853,12.9164,86.9,14,2,8.46,clear sky
637,Taoudenni,ML,22.6783,-3.9836,86.07,11,53,7.9,broken clouds
638,Petatlan,MX,17.5167,-101.2667,75.56,79,27,3.4,scattered clouds
639,Roswell,US,34.0232,-84.3616,76.89,80,0,3.44,clear sky
640,Villarrica,PY,-25.75,-56.4333,58.12,98,4,3.09,clear sky
641,Ipojuca,BR,-8.3989,-35.0639,82.31,87,100,6.76,overcast clouds
642,Deder,ET,9.3167,41.45,58.59,71,37,3.85,scattered clouds
643,Road Town,VG,18.4167,-64.6167,77.09,74,14,17.54,few clouds
644,Madimba,TZ,-10.4,40.3333,72.95,92,18,10.33,few clouds
645,Datong,CN,40.0936,113.2914,58.06,26,99,10.74,overcast clouds
646,Tabas,IR,33.5959,56.9244,84.92,17,55,5.39,broken clouds
647,Wajima,JP,37.4,136.9,81.28,25,0,5.75,clear sky
648,Vestmannaeyjar,IS,63.4427,-20.2734,39.36,72,38,23.69,scattered clouds
649,Mogadouro,PT,41.3403,-6.7119,46.02,76,2,5.66,clear sky
650,Astorga,BR,-23.2325,-51.6656,57.96,87,74,4.09,broken clouds
651,Sechura,PE,-5.5569,-80.8222,68.76,75,96,12.84,overcast clouds
652,Gohana,IN,29.1333,76.7,96.85,21,0,4.0,clear sky
653,Amuntai,ID,-2.4177,115.2494,95.18,47,27,1.05,scattered clouds
654,Sao Pedro,BR,-22.5486,-47.9139,56.16,93,0,2.64,clear sky
655,La Ronge,CA,55.1001,-105.2842,39.45,75,100,8.05,overcast clouds
656,Tibiri,NE,13.5627,7.0485,82.85,50,85,6.76,overcast clouds
657,Sohbatpur,PK,28.5202,68.5434,97.3,20,0,1.83,clear sky
658,Murwillumbah,AU,-28.3167,153.4,78.13,78,100,11.5,overcast clouds
659,Czestochowa,PL,50.7965,19.1241,53.51,94,86,3.74,overcast clouds
660,Norrtalje,SE,59.758,18.705,48.43,84,18,4.18,few clouds
661,Temnikov,RU,54.6302,43.2148,40.77,54,2,3.74,clear sky
662,Joao Pinheiro,BR,-17.7425,-46.1725,64.06,84,53,6.64,broken clouds
663,Mehamn,NO,71.0357,27.8492,37.35,81,0,10.36,light rain
664,Golega,PT,39.4047,-8.4863,60.51,79,0,3.76,clear sky
665,Grande Prairie,CA,55.1667,-118.8027,50.18,87,100,13.8,overcast clouds
666,Smidovich,RU,48.6,133.8167,56.68,61,100,26.06,overcast clouds
667,Dubai,AE,25.2582,55.3047,85.93,39,0,6.91,clear sky
668,Salalah,OM,17.0151,54.0924,82.49,83,40,2.3,scattered clouds
669,Nemuro,JP,43.3236,145.575,47.52,79,41,15.43,scattered clouds
670,Preobrazheniye,RU,42.9019,133.9064,58.98,64,100,11.83,overcast clouds
671,Tiznit,MA,29.5833,-9.5,65.39,33,0,6.24,clear sky
672,Yining,CN,29.0361,114.5636,87.49,37,43,2.04,scattered clouds
673,Colatina,BR,-19.5394,-40.6306,71.58,98,21,1.1,few clouds
674,San Ramon,US,37.7799,-121.978,62.92,74,0,14.97,clear sky
675,Byron Bay,AU,-28.65,153.6167,73.71,90,100,3.38,overcast clouds
676,Megion,RU,61.0296,76.1136,39.22,91,100,16.84,overcast clouds
677,Nara,JP,34.6851,135.8049,78.49,33,100,6.35,overcast clouds
678,Samarai,PG,-10.6167,150.6667,83.68,75,59,9.69,broken clouds
679,Grindavik,IS,63.8424,-22.4338,36.07,80,20,13.8,few clouds
