,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
54,Lorengau,PG,-2.0226,147.2712,85.3,71,23,6.64,few clouds
55,Sorong,ID,-0.8833,131.25,84.96,70,86,5.99,overcast clouds
56,Cheney,US,47.4874,-117.5758,52.14,90,75,19.57,broken clouds
57,Esperance,AU,-33.8667,121.9,63.07,52,14,8.08,few clouds
58,Butaritari,KI,3.0707,172.7902,81.64,71,42,17.81,scattered clouds
59,Adre,TD,13.4667,22.2,81.28,19,100,8.5,overcast clouds
60,Erzurum,TR,40.0,41.5,38.88,80,99,7.27,overcast clouds
61,Bagdarin,RU,54.4333,113.6,43.45,26,56,7.9,broken clouds
62,Lasa,IT,46.6166,10.7002,46.36,98,100,2.57,overcast clouds
63,Lamu,KE,-2.2717,40.902,77.22,86,37,13.65,moderate rain
64,Axim,GH,4.8699,-2.2405,79.92,84,100,2.68,overcast clouds
65,Billings,US,45.7833,-108.5007,69.57,36,75,11.5,broken clouds
66,Yellowknife,CA,62.456,-114.3525,48.72,57,75,6.91,broken clouds
67,Ancud,CL,-41.8697,-73.8203,53.49,88,95,7.49,overcast clouds
68,Mataura,NZ,-46.1927,168.8643,63.95,67,100,1.86,overcast clouds
69,Nishihara,JP,26.1842,127.7558,78.46,83,75,9.22,broken clouds
70,Narrabri,AU,-30.3167,149.7833,68.52,40,1,1.99,clear sky
71,Novyy Nekouz,RU,57.9029,38.07,35.38,69,26,4.7,scattered clouds
72,Nuuk,GL,64.1835,-51.7216,29.01,64,20,8.05,few clouds
73,Upernavik,GL,72.7868,-56.1549,1.71,92,62,4.85,broken clouds
74,Souillac,MU,-20.5167,57.5167,75.58,88,40,18.41,light intensity shower rain
75,Zeya,RU,53.75,127.2667,50.23,22,53,13.38,broken clouds
76,Kahului,US,20.8947,-156.47,77.02,80,40,23.02,scattered clouds
77,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,100,17.27,light snow
78,Hobart,AU,-42.8794,147.3294,57.25,85,75,9.22,light rain
79,Katsuura,JP,35.1333,140.3,67.5,69,100,8.39,overcast clouds
80,Matamoros,MX,25.5333,-103.25,86.11,10,0,0.0,clear sky
81,Vaini,TO,-21.2,-175.2,78.96,83,75,11.5,broken clouds
82,Cape Town,ZA,-33.9258,18.4232,58.12,93,79,3.0,broken clouds
83,Yulara,AU,-25.2406,130.9889,62.44,29,100,11.5,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,57.87,77,0,9.22,clear sky
85,Omboue,GA,-1.5746,9.2618,76.82,94,100,3.22,moderate rain
86,Mount Gambier,AU,-37.8333,140.7667,53.17,83,94,7.38,light rain
87,Alta Floresta,BR,-9.8756,-56.0861,70.83,94,13,2.15,few clouds
88,Khatanga,RU,71.9667,102.5,19.99,84,48,16.46,scattered clouds
89,Nanortalik,GL,60.1432,-45.2371,34.27,95,100,14.65,snow
90,Svetlogorsk,BY,52.6333,29.7333,38.41,79,17,6.82,few clouds
91,Namibe,AO,-15.1961,12.1522,77.4,50,0,1.19,clear sky
92,Adrar,MR,20.5022,-10.0711,75.63,21,3,10.27,clear sky
93,Avarua,CK,-21.2078,-159.775,82.45,74,97,3.44,overcast clouds
94,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,64.17,87,100,5.91,overcast clouds
95,Santa Lucia,ES,27.9117,-15.5407,56.52,72,20,14.97,few clouds
96,Paamiut,GL,61.994,-49.6678,32.49,85,100,7.9,overcast clouds
97,Nongstoin,IN,25.5167,91.2667,71.74,65,27,1.77,scattered clouds
98,Chuy,UY,-33.6971,-53.4616,54.18,85,38,4.7,scattered clouds
99,Maumere,ID,-8.6199,122.2111,85.91,66,3,3.0,clear sky
100,Dingle,PH,10.9995,122.6711,89.46,58,99,10.92,overcast clouds
101,Te Anau,NZ,-45.4167,167.7167,62.98,69,100,3.13,overcast clouds
102,Wanxian,CN,30.8039,108.3897,84.15,47,100,2.75,overcast clouds
103,Thompson,CA,55.7435,-97.8558,41.16,75,100,3.44,overcast clouds
104,Castro,BR,-24.7911,-50.0119,54.1,94,3,2.46,clear sky
105,Chumikan,RU,54.7183,135.315,35.47,89,100,6.91,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,56.59,93,18,5.28,few clouds
107,Prince Rupert,CA,54.3161,-130.3201,46.49,72,0,11.5,clear sky
108,Kavieng,PG,-2.5744,150.7967,84.61,75,63,13.04,light rain
109,Tiksi,RU,71.6872,128.8694,21.56,83,11,7.49,few clouds
110,Weligama,LK,5.9667,80.4167,81.82,81,97,13.78,overcast clouds
111,Bojnurd,IR,37.4747,57.329,58.95,88,40,0.0,scattered clouds
112,Faanui,PF,-16.4833,-151.75,81.73,70,100,7.85,overcast clouds
113,Camalu,MX,30.85,-116.0667,61.95,84,17,6.8,few clouds
114,Jamestown,US,42.097,-79.2353,55.06,58,0,10.36,clear sky
115,Arraial Do Cabo,BR,-22.9661,-42.0278,73.99,81,0,23.02,clear sky
116,Jurado,CO,7.1053,-77.7641,76.17,95,100,5.75,moderate rain
117,Basi,IN,26.8333,76.0333,91.74,25,6,0.31,clear sky
118,Lubao,PH,14.9167,120.55,96.51,42,13,6.82,few clouds
119,Jiaohe,CN,43.7286,127.3447,57.69,39,93,13.69,overcast clouds
120,Manaus,BR,-3.1019,-60.025,81.09,89,20,2.3,few clouds
121,Sola,VU,-13.8833,167.55,82.06,75,19,11.32,few clouds
122,Touros,BR,-5.1989,-35.4608,76.73,92,100,9.51,moderate rain
123,Pokhara,NP,28.2333,83.9833,71.01,78,79,2.01,broken clouds
124,Torbay,CA,47.6666,-52.7314,40.75,95,100,6.91,moderate rain
125,Esil,KZ,51.9556,66.4042,55.85,52,33,19.51,scattered clouds
126,Rock Springs,US,41.5875,-109.2029,58.44,30,0,13.8,clear sky
127,Iqaluit,CA,63.7506,-68.5145,13.73,85,20,20.71,few clouds
128,Dikson,RU,73.5069,80.5464,15.96,91,100,24.11,light snow
129,Saint George,US,37.1041,-113.5841,81.19,14,0,6.91,clear sky
130,Pevek,RU,69.7008,170.3133,29.62,88,95,4.99,overcast clouds
131,Olden,NO,61.8364,6.8064,48.94,92,100,11.14,overcast clouds
132,Khandbari,NP,27.3747,87.2039,76.66,62,85,2.93,overcast clouds
133,Camabatela,AO,-8.1881,15.375,62.73,80,82,4.23,broken clouds
134,Norwich,GB,52.6278,1.2983,51.98,89,100,4.61,overcast clouds
135,Lavrentiya,RU,65.5833,-171.0,26.67,78,16,1.23,few clouds
136,Chilca,PE,-12.5211,-76.7372,64.49,89,53,7.4,broken clouds
137,Bitung,ID,1.4451,125.1824,90.45,75,100,8.93,overcast clouds
138,Okhotsk,RU,59.3833,143.3,33.96,91,100,5.32,overcast clouds
139,Kerema,PG,-7.9631,145.7785,83.89,73,40,8.03,scattered clouds
140,Port Hedland,AU,-20.3167,118.5667,84.25,30,0,14.97,clear sky
141,Lebu,CL,-37.6167,-73.65,51.49,85,0,3.53,clear sky
142,Along,IN,28.1667,94.7667,83.25,55,7,1.1,clear sky
143,Makakilo City,US,21.3469,-158.0858,79.12,65,75,16.11,broken clouds
144,Hasaki,JP,35.7333,140.8333,72.0,72,100,11.27,overcast clouds
145,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,56,16.64,light rain
146,Oksbol,DK,55.6268,8.2876,46.9,94,45,8.41,scattered clouds
147,Sinnamary,GF,5.3833,-52.95,77.9,89,100,8.59,light rain
148,Atuona,PF,-9.8,-139.0333,78.98,74,97,14.41,overcast clouds
149,Itarema,BR,-2.9248,-39.9167,74.84,92,52,9.75,broken clouds
150,Pringsewu,ID,-5.3582,104.9744,87.53,64,23,3.09,few clouds
151,Talnakh,RU,69.4865,88.3972,13.21,87,99,14.23,light snow
152,Mao,ES,39.8885,4.2658,61.36,67,0,11.5,clear sky
153,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,60,100,8.05,overcast clouds
154,Nikolskoye,RU,59.7035,30.7861,46.29,73,84,6.51,broken clouds
155,Boyolangu,ID,-8.1181,111.8935,84.09,73,38,5.79,scattered clouds
156,Bilibino,RU,68.0546,166.4372,33.82,92,100,2.51,overcast clouds
157,Harper,LR,4.375,-7.7169,80.08,85,43,3.76,light rain
158,Shingu,JP,33.7333,135.9833,67.1,68,100,9.28,overcast clouds
159,Bethel,US,41.3712,-73.414,58.33,59,0,3.44,clear sky
160,Hellvik,NO,59.9156,5.781,49.77,84,100,1.99,overcast clouds
161,Shimoda,JP,34.6667,138.95,71.96,66,100,5.5,overcast clouds
162,Charlestown,AU,-32.95,151.6667,69.12,50,1,1.99,clear sky
163,Mahebourg,MU,-20.4081,57.7,75.49,88,40,18.41,light intensity shower rain
164,Naze,JP,28.3667,129.4833,74.32,92,99,16.28,overcast clouds
165,Pietermaritzburg,ZA,-29.6168,30.3928,56.68,62,0,5.55,clear sky
166,Bibiani,GH,6.4635,-2.3194,71.92,99,86,1.77,overcast clouds
167,Agirish,RU,61.9247,63.0231,32.31,61,100,9.35,overcast clouds
168,Clyde River,CA,70.4692,-68.5914,12.43,85,0,4.61,clear sky
